# Cross-reference of 8Spins.pdf rows against 8Spins.txt (machine-verified)
# For every PDF row: closure of its generators (indices into S8_Perms.txt) was
# computed, |Aut| compared with the claimed order, the canonical form matched
# against the catalogue, magnetic (twin) groups and the residual factor group
# order |Gq| = |Aut| / prod(n_g!) extracted. Vertex orbits are under full Aut.
#
pdf  |Aut| ok  twins      |Gq|  orbits       txt-section    name
 69     96 OK  4,1,1,1,1     4  4+4          order 96 #2    (D2-A'4)X4
 70      8 OK  1,1,1,1,1,1,1,1    8  4+4          order 8 #4     [dia] D4/C4v-(A'X')4
 71      8 OK  2,2,1,1,1,1    2  4+2+1+1      order 8 #1     C2-(A2A2'XX')
 72      3 OK  1,1,1,1,1,1,1,1    3  3+3+1+1      order 3 #1     C3-(A'X')3
 73      6 OK  1,1,1,1,1,1,1,1    6  6+2          order 6 #2     C3v-(A'6,XX')
 74     12 OK  1,1,1,1,1,1,1,1   12  6+1+1        order 12 #5    D6/D3h/D3d-A'6
 75     12 OK  3,1,1,1,1,1    2  3+2+2+1      order 12 #1    AA'MM'X3
 76     20 OK  2,1,1,1,1,1,1   10  5+2+1        order 20 #1    (D5-A'5)X2
 77     48 OK  3,2,2,1       2  4+3+1        order 48 #2    (D4-A'4)X3
 78     14 OK  1,1,1,1,1,1,1,1   14  7+1          order 14 #1    D7-A'7
 79      2 OK  1,1,1,1,1,1,1,1    2  2+2+2+2      order 2 #1     AA'MM'PP'XX'
 80      4 OK  1,1,1,1,1,1,1,1    4  4+4          order 4 #2     D2/C2v-(A'X')4
 81      8 OK  1,1,1,1,1,1,1,1    8  8            order 8 #7     D2h-A'8
 82     64 OK  2,2,2,2       4  8            order 64 #1    D2-(A2)'4
 83     16 OK  1,1,1,1,1,1,1,1   16  8            order 16 #6    D4h-A'8
 84      8 OK  1,1,1,1,1,1,1,1    8  8            order 8 #8     D4/C4v-A'8
 85      8 OK  2,2,1,1,1,1    2  4+2+2        order 8 #2     C2-(A2A2'MM'XX')
 86      6 OK  2,1,1,1,1,1,1    3  3+3+2        order 6 #5     C3-(A'M')3X2
 87     12 OK  1,1,1,1,1,1,1,1   12  6+2          order 12 #4    D3h/D3d-(A'6XX')
 88     60 OK  3,1,1,1,1,1   10  5+3          order 60 #1    (D5-A'5)X3
 89      4 OK  1,1,1,1,1,1,1,1    4  4+4          order 4 #10    C4-(A'X')4
 90     16 OK  1,1,1,1,1,1,1,1   16  8            order 16 #1    D8-A'8
#
# Markers in 8Spins.pdf rows 60/70 (same name D4/C4v-(A'X')4, decoded):
#   [sq]  row 60: eclipsed stack of the two squares (vertex over vertex);
#         inter-square classes 4+4+8, incl. the distinguished A'iX'i matching.
#   [dia] row 70: staggered stack, X'-square rotated by 45 deg (vertex over
#         edge midpoint); inter-square classes 8+8, no distinguished matching.
# Together with row 89 C4-(A'X')4 (generic twist angle, reflections killed,
# chiral) they form the full twist family of two stacked squares: 0 / 45 / generic.
#
# Markers (-) and (|) in rows 49/67 (D2 core + two pairs, decoded):
#   the symbol tells which C2 axis of the D2 frame the pair sits on (is fixed
#   pointwise by that involution, swapped by the other two).
#   row 49 (-)MM'(-)XX': both pairs on the SAME axis
#         (verified: (56)(78) fixes both pairs; the other two elements swap both);
#   row 67 (-)MM',(|)XX': pairs on DIFFERENT axes
#         (verified: (34)(56)(78) fixes MM' & swaps XX'; (12)(57)(68) vice versa).
# Abstractly the D2-A'4 core is K4 with three distinct perfect matchings, and all
# three involutions are interchangeable by relabelling (S4 permutes the matchings
# as S3), so "same axis vs different axes" is the ONLY invariant: constructed
# variants collapse as (a,a)=(ab,ab)->row 49 and (a,b)=(a,ab)->row 67.
