# catalog_taxonomy.tsv - machine taxonomy of all closed symmetry groups, N = 3..14
# (6112 entries: 3+8+11+27+36+90+131+282+394+948+1316+2866). Produced by code/classify_catalog.cpp
# (N=14 rows from the orbit-partition decomposition catalogue materials/14Spins.txt,
#  which uses the IR canonical representative; see code/catalog_format.cpp).
#
# id      = N/o<order>.<index>; <index> is the 1-based line position inside the
#           "--- order K ---" section of the anchor catalogue file:
#             N = 8        -> materials/8Spins.txt
#             N = 11..13   -> materials/11Spins.txt, 12Spins.txt, 13Spins.txt
#             other N      -> materials/<N>Spins_generated.txt
#           NOTE: regenerating a catalogue may permute lines inside a section
#           (parallel enumeration), so the committed files are the ID anchors.
# order   = |Aut| (recomputed independently; matches every section header)
# twins   = magnetic composite sizes n_g (identical rows off the mutual edge)
# gq      = |Gamma_q| = |Aut| / prod(n_g!)  (residual factor group order)
# orbits  = vertex orbit sizes under the full Aut
# fixedpt = y: has a fixed vertex (entry inherited from level N-1 by the tower
#           theorem); n: fixed-point-free (essentially new at this N).
#           Counts of 'n' per N reproduce f(N): 1,5,3,16,9,54,41,151,112,554,368,1550.
# cyclic  = y iff an element of order |Aut| exists
# maxelt  = maximal element order in Aut
# abelian, ambivalent = y/n, computed when |Aut| <= 2000, else '-'
#           (ambivalent: every element conjugate to its inverse <=> all
#            characters real <=> X-approximation blocks combine pairwise)
id	order	twins	gq	orbits	fixedpt	cyclic	maxelt	abelian	ambivalent
7/o14.1	14	1,1,1,1,1,1,1	14	7	n	n	7	n	y
7/o16.1	16	2,2,2,1	2	4+2+1	y	n	4	n	y
7/o20.1	20	2,1,1,1,1,1	10	5+2	n	n	10	n	y
7/o24.1	24	3,1,1,1,1	4	4+3	n	n	6	n	y
7/o24.2	24	3,2,2	1	3+2+2	n	n	6	n	y
7/o24.3	24	4,1,1,1	1	4+1+1+1	y	n	4	n	y
7/o36.1	36	3,3,1	1	3+3+1	y	n	6	n	y
7/o48.1	48	3,2,2	2	4+3	n	n	12	n	y
7/o48.2	48	4,2,1	1	4+2+1	y	n	6	n	y
7/o48.3	48	2,2,2,1	6	6+1	y	n	6	n	y
7/o72.1	72	3,3,1	2	6+1	y	n	6	n	y
7/o120.1	120	5,1,1	1	5+1+1	y	n	6	n	y
7/o144.1	144	4,3	1	4+3	n	n	12	n	y
7/o240.1	240	5,2	1	5+2	n	n	10	n	y
7/o720.1	720	6,1	1	6+1	y	n	6	n	y
7/o5040.1	5040	7	1	7	n	n	12	-	-
8/o1.1	1	1,1,1,1,1,1,1,1	1	1+1+1+1+1+1+1+1	y	y	1	y	y
8/o2.1	2	1,1,1,1,1,1,1,1	2	2+2+2+2	n	y	2	y	y
8/o2.2	2	1,1,1,1,1,1,1,1	2	2+2+2+1+1	y	y	2	y	y
8/o2.3	2	1,1,1,1,1,1,1,1	2	2+2+1+1+1+1	y	y	2	y	y
8/o2.4	2	2,1,1,1,1,1,1	1	2+1+1+1+1+1+1	y	y	2	y	y
8/o3.1	3	1,1,1,1,1,1,1,1	3	3+3+1+1	y	y	3	y	n
8/o4.1	4	1,1,1,1,1,1,1,1	4	4+2+2	n	n	2	y	y
8/o4.2	4	1,1,1,1,1,1,1,1	4	4+4	n	n	2	y	y
8/o4.3	4	1,1,1,1,1,1,1,1	4	4+2+2	n	n	2	y	y
8/o4.4	4	1,1,1,1,1,1,1,1	4	4+2+1+1	y	n	2	y	y
8/o4.5	4	1,1,1,1,1,1,1,1	4	2+2+2+2	n	n	2	y	y
8/o4.6	4	1,1,1,1,1,1,1,1	4	4+1+1+1+1	y	n	2	y	y
8/o4.7	4	2,1,1,1,1,1,1	2	2+2+2+2	n	n	2	y	y
8/o4.8	4	2,1,1,1,1,1,1	2	2+2+2+1+1	y	n	2	y	y
8/o4.9	4	2,2,1,1,1,1	1	2+2+1+1+1+1	y	n	2	y	y
8/o4.10	4	1,1,1,1,1,1,1,1	4	4+4	n	y	4	y	n
8/o6.1	6	1,1,1,1,1,1,1,1	6	6+1+1	y	n	3	n	y
8/o6.2	6	1,1,1,1,1,1,1,1	6	6+2	n	n	3	n	y
8/o6.3	6	1,1,1,1,1,1,1,1	6	3+3+1+1	y	n	3	n	y
8/o6.4	6	3,1,1,1,1,1	1	3+1+1+1+1+1	y	n	3	n	y
8/o6.5	6	2,1,1,1,1,1,1	3	3+3+2	n	y	6	y	n
8/o8.1	8	2,2,1,1,1,1	2	4+2+1+1	y	n	4	n	y
8/o8.2	8	2,2,1,1,1,1	2	4+2+2	n	n	4	n	y
8/o8.3	8	1,1,1,1,1,1,1,1	8	4+4	n	n	4	n	y
8/o8.4	8	1,1,1,1,1,1,1,1	8	4+4	n	n	4	n	y
8/o8.5	8	2,1,1,1,1,1,1	4	4+2+1+1	y	n	2	y	y
8/o8.6	8	1,1,1,1,1,1,1,1	8	4+2+2	n	n	2	y	y
8/o8.7	8	1,1,1,1,1,1,1,1	8	8	n	n	2	y	y
8/o8.8	8	1,1,1,1,1,1,1,1	8	8	n	n	4	n	y
8/o8.9	8	2,1,1,1,1,1,1	4	4+2+2	n	n	2	y	y
8/o8.10	8	1,1,1,1,1,1,1,1	8	4+4	n	n	2	y	y
8/o8.11	8	2,2,1,1,1,1	2	2+2+2+2	n	n	2	y	y
8/o8.12	8	2,2,2,1,1	1	2+2+2+1+1	y	n	2	y	y
8/o8.13	8	2,2,1,1,1,1	2	4+1+1+1+1	y	n	4	n	y
8/o10.1	10	1,1,1,1,1,1,1,1	10	5+1+1+1	y	n	5	n	y
8/o12.1	12	3,1,1,1,1,1	2	3+2+2+1	y	n	6	n	y
8/o12.2	12	2,1,1,1,1,1,1	6	3+3+2	n	n	6	n	y
8/o12.3	12	2,1,1,1,1,1,1	6	6+2	n	n	6	n	y
8/o12.4	12	1,1,1,1,1,1,1,1	12	6+2	n	n	6	n	y
8/o12.5	12	1,1,1,1,1,1,1,1	12	6+1+1	y	n	6	n	y
8/o12.6	12	3,2,1,1,1	1	3+2+1+1+1	y	n	6	n	y
8/o14.1	14	1,1,1,1,1,1,1,1	14	7+1	y	n	7	n	y
8/o16.1	16	1,1,1,1,1,1,1,1	16	8	n	n	8	n	y
8/o16.2	16	2,2,1,1,1,1	4	4+2+2	n	n	2	y	y
8/o16.3	16	2,2,1,1,1,1	4	4+2+2	n	n	4	n	y
8/o16.4	16	2,2,2,2	1	2+2+2+2	n	n	2	y	y
8/o16.5	16	2,2,1,1,1,1	4	4+4	n	n	4	n	y
8/o16.6	16	1,1,1,1,1,1,1,1	16	8	n	n	4	n	y
8/o16.7	16	2,2,2,1,1	2	4+2+2	n	n	4	n	y
8/o16.8	16	1,1,1,1,1,1,1,1	16	4+4	n	n	2	y	y
8/o16.9	16	2,2,2,1,1	2	4+2+1+1	y	n	4	n	y
8/o20.1	20	2,1,1,1,1,1,1	10	5+2+1	y	n	10	n	y
8/o24.1	24	2,1,1,1,1,1,1	12	6+2	n	n	6	n	y
8/o24.2	24	3,1,1,1,1,1	4	4+3+1	y	n	6	n	y
8/o24.3	24	1,1,1,1,1,1,1,1	24	4+4	n	n	4	n	y
8/o24.4	24	3,2,2,1	1	3+2+2+1	y	n	6	n	y
8/o24.5	24	4,1,1,1,1	1	4+1+1+1+1	y	n	4	n	y
8/o32.1	32	1,1,1,1,1,1,1,1	32	8	n	n	4	n	y
8/o32.2	32	2,2,1,1,1,1	8	4+4	n	n	4	n	y
8/o32.3	32	2,2,2,2	2	4+4	n	n	4	n	y
8/o32.4	32	2,2,2,2	2	4+2+2	n	n	4	n	y
8/o36.1	36	3,3,1,1	1	3+3+1+1	y	n	6	n	y
8/o48.1	48	1,1,1,1,1,1,1,1	48	8	n	n	6	n	y
8/o48.2	48	3,2,2,1	2	4+3+1	y	n	12	n	y
8/o48.3	48	4,1,1,1,1	2	4+2+2	n	n	6	n	y
8/o48.4	48	2,2,2,1,1	6	6+1+1	y	n	6	n	y
8/o48.5	48	4,2,1,1	1	4+2+1+1	y	n	6	n	y
8/o60.1	60	3,1,1,1,1,1	10	5+3	n	n	15	n	y
8/o64.1	64	2,2,2,2	4	8	n	n	4	n	y
8/o64.2	64	2,2,2,2	4	4+4	n	n	4	n	y
8/o72.1	72	3,3,2	1	3+3+2	n	n	6	n	y
8/o72.2	72	3,3,1,1	2	6+1+1	y	n	6	n	y
8/o72.3	72	3,3,1,1	2	6+2	n	n	6	n	y
8/o96.1	96	2,2,2,2	6	6+2	n	n	6	n	y
8/o96.2	96	4,1,1,1,1	4	4+4	n	n	6	n	y
8/o96.3	96	4,2,2	1	4+2+2	n	n	6	n	y
8/o120.1	120	5,1,1,1	1	5+1+1+1	y	n	6	n	y
8/o128.1	128	2,2,2,2	8	8	n	n	8	n	y
8/o144.1	144	3,3,2	2	6+2	n	n	6	n	y
8/o144.2	144	4,3,1	1	4+3+1	y	n	12	n	y
8/o192.1	192	4,2,2	2	4+4	n	n	12	n	y
8/o240.1	240	5,2,1	1	5+2+1	y	n	10	n	y
8/o384.1	384	2,2,2,2	24	8	n	n	8	n	y
8/o576.1	576	4,4	1	4+4	n	n	12	n	y
8/o720.1	720	5,3	1	5+3	n	n	15	n	y
8/o720.2	720	6,1,1	1	6+1+1	y	n	6	n	y
8/o1152.1	1152	4,4	2	8	n	n	12	n	y
8/o1440.1	1440	6,2	1	6+2	n	n	10	n	y
8/o5040.1	5040	7,1	1	7+1	y	n	12	-	-
8/o40320.1	40320	8	1	8	n	n	15	-	-
9/o1.1	1	1,1,1,1,1,1,1,1,1	1	1+1+1+1+1+1+1+1+1	y	y	1	y	y
9/o2.1	2	2,1,1,1,1,1,1,1	1	2+1+1+1+1+1+1+1	y	y	2	y	y
9/o2.2	2	1,1,1,1,1,1,1,1,1	2	2+2+1+1+1+1+1	y	y	2	y	y
9/o2.3	2	1,1,1,1,1,1,1,1,1	2	2+2+2+1+1+1	y	y	2	y	y
9/o2.4	2	1,1,1,1,1,1,1,1,1	2	2+2+2+2+1	y	y	2	y	y
9/o3.1	3	1,1,1,1,1,1,1,1,1	3	3+3+1+1+1	y	y	3	y	n
