# catalog_taxonomy.tsv - machine taxonomy of all closed symmetry groups, N = 3..14
# (6112 entries: 3+8+11+27+36+90+131+282+394+948+1316+2866). Produced by code/classify_catalog.cpp
# (N=14 rows from the orbit-partition decomposition catalogue materials/14Spins.txt,
#  which uses the IR canonical representative; see code/catalog_format.cpp).
#
# id      = N/o<order>.<index>; <index> is the 1-based line position inside the
#           "--- order K ---" section of the anchor catalogue file:
#             N = 8        -> materials/8Spins.txt
#             N = 11..13   -> materials/11Spins.txt, 12Spins.txt, 13Spins.txt
#             other N      -> materials/<N>Spins_generated.txt
#           NOTE: regenerating a catalogue may permute lines inside a section
#           (parallel enumeration), so the committed files are the ID anchors.
# order   = |Aut| (recomputed independently; matches every section header)
# twins   = magnetic composite sizes n_g (identical rows off the mutual edge)
# gq      = |Gamma_q| = |Aut| / prod(n_g!)  (residual factor group order)
# orbits  = vertex orbit sizes under the full Aut
# fixedpt = y: has a fixed vertex (entry inherited from level N-1 by the tower
#           theorem); n: fixed-point-free (essentially new at this N).
#           Counts of 'n' per N reproduce f(N): 1,5,3,16,9,54,41,151,112,554,368,1550.
# cyclic  = y iff an element of order |Aut| exists
# maxelt  = maximal element order in Aut
# abelian, ambivalent = y/n, computed when |Aut| <= 2000, else '-'
#           (ambivalent: every element conjugate to its inverse <=> all
#            characters real <=> X-approximation blocks combine pairwise)
id	order	twins	gq	orbits	fixedpt	cyclic	maxelt	abelian	ambivalent
9/o3.2	3	1,1,1,1,1,1,1,1,1	3	3+3+3	n	y	3	y	n
9/o4.1	4	1,1,1,1,1,1,1,1,1	4	4+2+2+1	y	n	2	y	y
9/o4.2	4	1,1,1,1,1,1,1,1,1	4	2+2+2+2+1	y	n	2	y	y
9/o4.3	4	1,1,1,1,1,1,1,1,1	4	4+2+2+1	y	n	2	y	y
9/o4.4	4	2,2,1,1,1,1,1	1	2+2+1+1+1+1+1	y	n	2	y	y
9/o4.5	4	2,1,1,1,1,1,1,1	2	2+2+2+2+1	y	n	2	y	y
9/o4.6	4	1,1,1,1,1,1,1,1,1	4	4+4+1	y	y	4	y	n
9/o4.7	4	1,1,1,1,1,1,1,1,1	4	4+2+1+1+1	y	n	2	y	y
9/o4.8	4	2,1,1,1,1,1,1,1	2	2+2+2+1+1+1	y	n	2	y	y
9/o4.9	4	1,1,1,1,1,1,1,1,1	4	4+4+1	y	n	2	y	y
9/o4.10	4	1,1,1,1,1,1,1,1,1	4	4+1+1+1+1+1	y	n	2	y	y
9/o6.1	6	2,1,1,1,1,1,1,1	3	3+3+2+1	y	y	6	y	n
9/o6.2	6	1,1,1,1,1,1,1,1,1	6	6+3	n	y	6	y	n
9/o6.3	6	3,1,1,1,1,1,1	1	3+1+1+1+1+1+1	y	n	3	n	y
9/o6.4	6	1,1,1,1,1,1,1,1,1	6	6+2+1	y	n	3	n	y
9/o6.5	6	1,1,1,1,1,1,1,1,1	6	6+3	n	n	3	n	y
9/o6.6	6	1,1,1,1,1,1,1,1,1	6	3+3+3	n	n	3	n	y
9/o6.7	6	1,1,1,1,1,1,1,1,1	6	3+3+1+1+1	y	n	3	n	y
9/o6.8	6	1,1,1,1,1,1,1,1,1	6	6+1+1+1	y	n	3	n	y
9/o8.1	8	2,2,1,1,1,1,1	2	4+2+2+1	y	n	4	n	y
9/o8.2	8	2,2,2,1,1,1	1	2+2+2+1+1+1	y	n	2	y	y
9/o8.3	8	1,1,1,1,1,1,1,1,1	8	8+1	y	n	2	y	y
9/o8.4	8	2,2,1,1,1,1,1	2	4+2+1+1+1	y	n	4	n	y
9/o8.5	8	2,2,1,1,1,1,1	2	4+1+1+1+1+1	y	n	4	n	y
9/o8.6	8	2,2,1,1,1,1,1	2	2+2+2+2+1	y	n	2	y	y
9/o8.7	8	1,1,1,1,1,1,1,1,1	8	4+4+1	y	n	4	n	y
9/o8.8	8	1,1,1,1,1,1,1,1,1	8	8+1	y	n	4	n	y
9/o8.9	8	1,1,1,1,1,1,1,1,1	8	4+4+1	y	n	4	n	y
9/o8.10	8	1,1,1,1,1,1,1,1,1	8	4+4+1	y	n	2	y	y
9/o8.11	8	2,1,1,1,1,1,1,1	4	4+2+2+1	y	n	2	y	y
9/o8.12	8	1,1,1,1,1,1,1,1,1	8	4+2+2+1	y	n	2	y	y
9/o8.13	8	2,1,1,1,1,1,1,1	4	4+2+1+1+1	y	n	2	y	y
9/o10.1	10	1,1,1,1,1,1,1,1,1	10	5+1+1+1+1	y	n	5	n	y
9/o12.1	12	2,1,1,1,1,1,1,1	6	6+2+1	y	n	6	n	y
9/o12.2	12	2,1,1,1,1,1,1,1	6	3+3+2+1	y	n	6	n	y
9/o12.3	12	1,1,1,1,1,1,1,1,1	12	6+2+1	y	n	6	n	y
9/o12.4	12	1,1,1,1,1,1,1,1,1	12	6+1+1+1	y	n	6	n	y
9/o12.5	12	3,1,1,1,1,1,1	2	3+2+2+2	n	n	6	n	y
9/o12.6	12	3,2,1,1,1,1	1	3+2+1+1+1+1	y	n	6	n	y
9/o12.7	12	3,1,1,1,1,1,1	2	3+2+2+1+1	y	n	6	n	y
9/o12.8	12	1,1,1,1,1,1,1,1,1	12	6+3	n	n	6	n	y
9/o14.1	14	1,1,1,1,1,1,1,1,1	14	7+1+1	y	n	7	n	y
9/o16.1	16	2,2,2,2,1	1	2+2+2+2+1	y	n	2	y	y
9/o16.2	16	2,2,2,1,1,1	2	4+2+2+1	y	n	4	n	y
9/o16.3	16	2,2,1,1,1,1,1	4	4+2+2+1	y	n	4	n	y
9/o16.4	16	2,2,1,1,1,1,1	4	4+4+1	y	n	4	n	y
9/o16.5	16	1,1,1,1,1,1,1,1,1	16	8+1	y	n	8	n	y
9/o16.6	16	2,2,2,1,1,1	2	4+2+1+1+1	y	n	4	n	y
9/o16.7	16	1,1,1,1,1,1,1,1,1	16	8+1	y	n	4	n	y
9/o16.8	16	2,2,1,1,1,1,1	4	4+2+2+1	y	n	2	y	y
9/o16.9	16	1,1,1,1,1,1,1,1,1	16	4+4+1	y	n	2	y	y
9/o18.1	18	1,1,1,1,1,1,1,1,1	18	9	n	n	3	n	y
9/o18.2	18	1,1,1,1,1,1,1,1,1	18	9	n	n	9	n	y
9/o18.3	18	3,1,1,1,1,1,1	3	3+3+3	n	n	6	n	n
9/o20.1	20	1,1,1,1,1,1,1,1,1	20	5+2+2	n	n	10	n	y
9/o20.2	20	2,1,1,1,1,1,1,1	10	5+2+1+1	y	n	10	n	y
9/o24.1	24	1,1,1,1,1,1,1,1,1	24	4+4+1	y	n	4	n	y
9/o24.2	24	3,1,1,1,1,1,1	4	4+3+2	n	n	6	n	y
9/o24.3	24	3,2,2,1,1	1	3+2+2+1+1	y	n	6	n	y
9/o24.4	24	2,1,1,1,1,1,1,1	12	6+2+1	y	n	6	n	y
9/o24.5	24	3,1,1,1,1,1,1	4	4+3+1+1	y	n	6	n	y
9/o24.6	24	4,1,1,1,1,1	1	4+1+1+1+1+1	y	n	4	n	y
9/o24.7	24	3,2,1,1,1,1	2	3+2+2+2	n	n	6	n	y
9/o24.8	24	2,2,2,1,1,1	3	6+3	n	n	6	n	n
9/o28.1	28	2,1,1,1,1,1,1,1	14	7+2	n	n	14	n	y
9/o32.1	32	2,2,2,2,1	2	4+4+1	y	n	4	n	y
9/o32.2	32	2,2,2,2,1	2	4+2+2+1	y	n	4	n	y
9/o32.3	32	1,1,1,1,1,1,1,1,1	32	8+1	y	n	4	n	y
9/o32.4	32	2,2,1,1,1,1,1	8	4+4+1	y	n	4	n	y
9/o36.1	36	3,1,1,1,1,1,1	6	6+3	n	n	6	n	y
9/o36.2	36	1,1,1,1,1,1,1,1,1	36	9	n	n	6	n	y
9/o36.3	36	3,1,1,1,1,1,1	6	3+3+3	n	n	6	n	y
9/o36.4	36	3,3,1,1,1	1	3+3+1+1+1	y	n	6	n	y
9/o40.1	40	2,2,1,1,1,1,1	10	5+2+2	n	n	10	n	y
9/o40.2	40	1,1,1,1,1,1,1,1,1	40	5+4	n	n	10	n	y
9/o48.1	48	3,2,2,1,1	2	4+3+1+1	y	n	12	n	y
9/o48.2	48	3,2,2,1,1	2	4+3+2	n	n	12	n	y
9/o48.3	48	2,2,2,1,1,1	6	6+1+1+1	y	n	6	n	y
9/o48.4	48	1,1,1,1,1,1,1,1,1	48	8+1	y	n	6	n	y
9/o48.5	48	3,2,1,1,1,1	4	4+3+2	n	n	6	n	y
9/o48.6	48	4,2,1,1,1	1	4+2+1+1+1	y	n	6	n	y
9/o48.7	48	3,2,2,2	1	3+2+2+2	n	n	6	n	y
